hidden_dims,learning_rate,dropout,alpha,train_loss,val_loss,train_mse,val_mse,train_mae,val_mae
2560,0.001,0.3,0.3,"[0.3074924051761627, 0.15081539750099182, 0.05379645898938179, 0.039523374289274216, 0.033085402101278305, 0.02900872752070427, 0.027043335139751434, 0.024668464437127113, 0.0234978124499321, 0.022929096594452858, 0.021526094526052475, 0.02172960340976715, 0.020465821027755737, 0.020187627524137497, 0.019777938723564148, 0.019460147246718407, 0.019213831052184105, 0.018965650349855423, 0.0190616175532341, 0.018528830260038376, 0.019016610458493233, 0.01810627244412899, 0.01845221407711506, 0.01779678650200367, 0.017545849084854126, 0.017672725021839142, 0.016630804166197777, 0.01625424064695835, 0.016963696107268333, 0.016862936317920685, 0.0152331767603755, 0.015364699997007847, 0.016576573252677917, 0.01568758487701416, 0.015038613229990005, 0.014606993645429611, 0.014452557079494, 0.014722904190421104, 0.015417114831507206, 0.016041109338402748, 0.014696519821882248, 0.014047142118215561, 0.01394705567508936, 0.01389868464320898, 0.015018762089312077, 0.014935634098947048, 0.01383671723306179, 0.013457232154905796, 0.015447576530277729, 0.01396583765745163, 0.014079260639846325, 0.014901847578585148, 0.013898681849241257]","[0.22862623631954193, 0.07805400341749191, 0.04469353333115578, 0.03768805414438248, 0.03161733224987984, 0.0283467099070549, 0.026629244908690453, 0.024214478209614754, 0.02319975011050701, 0.022150594741106033, 0.02166137658059597, 0.021225111559033394, 0.02077650837600231, 0.020068885758519173, 0.02044641226530075, 0.0205003023147583, 0.02131890319287777, 0.019285254180431366, 0.019123196601867676, 0.018662557005882263, 0.01870792545378208, 0.018895521759986877, 0.018760956823825836, 0.018680095672607422, 0.018237171694636345, 0.017488734796643257, 0.017076890915632248, 0.017290394753217697, 0.019088223576545715, 0.015686914324760437, 0.015619019977748394, 0.01616778038442135, 0.01628550887107849, 0.015858152881264687, 0.01558651216328144, 0.015118605457246304, 0.014789807610213757, 0.014404527842998505, 0.016252553090453148, 0.01599733904004097, 0.014371436089277267, 0.014663261361420155, 0.014083078131079674, 0.014091896824538708, 0.015741264447569847, 0.014866008423268795, 0.014092943631112576, 0.014164515770971775, 0.016862869262695312, 0.015167351812124252, 0.014355994760990143, 0.01577948033809662, 0.014111995697021484]","[0.08619731664657593, 0.02446373924612999, 0.006351816933602095, 0.004180517513304949, 0.0032440205104649067, 0.0027176544535905123, 0.002473505912348628, 0.0022562353406101465, 0.002115614479407668, 0.0020634918473660946, 0.0019341920269653201, 0.0018988588126376271, 0.0018243947997689247, 0.00176848447881639, 0.0017268077936023474, 0.001697996398434043, 0.0016625166172161698, 0.001627353485673666, 0.001624880125746131, 0.0015867621405050159, 0.0015902698505669832, 0.0015461391303688288, 0.001544723752886057, 0.0015176550950855017, 0.0014935556100681424, 0.0015006670728325844, 0.0014550866326317191, 0.0014457007637247443, 0.0014614883111789823, 0.0014650694793090224, 0.0014078798703849316, 0.0014065594878047705, 0.0014284944627434015, 0.0014367913827300072, 0.0013833960983902216, 0.0013789410004392266, 0.0013597897486761212, 0.0013633527560159564, 0.0014354708837345243, 0.0014820859069004655, 0.0013961935183033347, 0.001364416559226811, 0.0013448357349261642, 0.001333097112365067, 0.0013559351209551096, 0.0013277538819238544, 0.0013094936730340123, 0.0013032288989052176, 0.0013565500266849995, 0.001319392118602991, 0.0013072360306978226, 0.0013239686377346516, 0.0012908624485135078]","[0.047739896923303604, 0.009436850436031818, 0.004832644946873188, 0.0036139783915132284, 0.002978402189910412, 0.0025841654278337955, 0.002488925354555249, 0.0022182853426784277, 0.0021464405581355095, 0.0020290352404117584, 0.0019215982174500823, 0.0019429344683885574, 0.0018481441074982285, 0.0017681882018223405, 0.0017925132997334003, 0.0018195539014413953, 0.0017387802945449948, 0.001691741868853569, 0.0016765225445851684, 0.0016634176718071103, 0.0016171570168808103, 0.001608066027984023, 0.001605203957296908, 0.0015976978465914726, 0.0015573980053886771, 0.001555770286358893, 0.001540093100629747, 0.001529062632471323, 0.001589553547091782, 0.0014895795611664653, 0.0015252494486048818, 0.0015271600568667054, 0.0014942452544346452, 0.0014895551139488816, 0.0014910107711330056, 0.0014757540775462985, 0.0014540718402713537, 0.001436640159226954, 0.0015553002012893558, 0.0014879517257213593, 0.0014826749684289098, 0.0014626128831878304, 0.0014609192730858922, 0.00142797757871449, 0.0014521625125780702, 0.0014072173507884145, 0.0014115030644461513, 0.0014107380993664265, 0.0014549888437613845, 0.0014149191556498408, 0.0014076251536607742, 0.0014458127552643418, 0.001385141396895051]","[0.27620771527290344, 0.13496315479278564, 0.046420883387327194, 0.0340014323592186, 0.028522372245788574, 0.025055842474102974, 0.023336388170719147, 0.021295178681612015, 0.020336460322141647, 0.01980116032063961, 0.018662340939044952, 0.018891876563429832, 0.01774739846587181, 0.017596563324332237, 0.01726025715470314, 0.01699717715382576, 0.016799001023173332, 0.01663781888782978, 0.01671173982322216, 0.016267040744423866, 0.016730088740587234, 0.01593530736863613, 0.01625821366906166, 0.015678295865654945, 0.015498040243983269, 0.015627002343535423, 0.014731066301465034, 0.014417246915400028, 0.015096081420779228, 0.01499096117913723, 0.013573202304542065, 0.013702601194381714, 0.01484348252415657, 0.013950086198747158, 0.013460601679980755, 0.013072099536657333, 0.012975750491023064, 0.013222144916653633, 0.013665861450135708, 0.01422303356230259, 0.013108638115227222, 0.012602519243955612, 0.0125439977273345, 0.012525464408099651, 0.013550316914916039, 0.013526152819395065, 0.012521705590188503, 0.012174288742244244, 0.013937179930508137, 0.012625155039131641, 0.012712035328149796, 0.013492877595126629, 0.012628729455173016]","[0.20554164052009583, 0.0690440759062767, 0.037733398377895355, 0.03112645633518696, 0.027002695947885513, 0.024014854803681374, 0.02264498546719551, 0.020678846165537834, 0.019999932497739792, 0.01886746846139431, 0.018305547535419464, 0.01805301010608673, 0.017760900780558586, 0.016993913799524307, 0.01775672473013401, 0.017974067479372025, 0.01827898807823658, 0.016298586502671242, 0.016527676954865456, 0.016241980716586113, 0.01615927554666996, 0.016359403729438782, 0.016320524737238884, 0.01628958247601986, 0.01579182967543602, 0.015318808145821095, 0.014960942789912224, 0.015139189548790455, 0.016890456900000572, 0.013739312998950481, 0.013690215535461903, 0.014280399307608604, 0.01415280718356371, 0.01388876885175705, 0.013751312159001827, 0.013115606270730495, 0.012973455712199211, 0.012602883391082287, 0.013905808329582214, 0.013988284394145012, 0.012573645450174809, 0.012833437882363796, 0.01240865234285593, 0.012379511259496212, 0.013840261846780777, 0.013104133307933807, 0.012439894489943981, 0.012377087026834488, 0.01471721101552248, 0.013209199532866478, 0.012672497890889645, 0.01381109468638897, 0.01245269924402237]"
2560,0.005,0.3,0.3,"[0.15139150619506836, 0.055997759103775024, 0.05210701376199722, 0.05042973533272743, 0.04911693558096886, 0.048799362033605576, 0.048897936940193176, 0.04810377210378647, 0.047829024493694305, 0.04902788996696472, 0.047368112951517105, 0.047437701374292374, 0.04683149233460426, 0.04705739766359329, 0.047174979001283646, 0.04659193754196167, 0.04650811105966568, 0.04672256112098694, 0.046434979885816574, 0.04630128666758537, 0.0464344248175621, 0.0463218167424202, 0.04617171734571457, 0.0459122434258461, 0.04622258245944977, 0.04613430052995682, 0.04599805176258087, 0.04598935693502426, 0.045987796038389206, 0.04586116224527359, 0.04599979892373085, 0.045797936618328094, 0.04575444012880325, 0.045697107911109924, 0.04565216600894928, 0.04565441980957985, 0.04539697989821434, 0.04551512748003006, 0.045853063464164734, 0.04555043950676918, 0.04547595605254173, 0.045436959713697433, 0.045239098370075226, 0.045424576848745346, 0.04562893882393837, 0.0454559326171875, 0.04536404088139534, 0.04560459777712822, 0.04523855820298195, 0.0452394112944603, 0.04519007354974747, 0.04517638310790062, 0.045404475182294846, 0.045367784798145294, 0.045128680765628815, 0.04525722935795784, 0.04523070901632309, 0.04532111808657646, 0.045240432024002075, 0.04504181072115898, 0.04536271467804909, 0.04514756053686142, 0.04508721083402634, 0.04519593343138695, 0.04509497433900833, 0.04501157999038696, 0.04500894621014595, 0.0450739786028862, 0.04507585987448692, 0.045174069702625275, 0.04498397931456566, 0.04506855085492134, 0.04495716094970703, 0.0449431873857975, 0.044973064213991165]","[0.060474786907434464, 0.054868705570697784, 0.05201650410890579, 0.05048005282878876, 0.04944160580635071, 0.04935223236680031, 0.04797997698187828, 0.04911526292562485, 0.04808967188000679, 0.04814561828970909, 0.04746118560433388, 0.04893434792757034, 0.046575166285037994, 0.04867781326174736, 0.04735969007015228, 0.04703036695718765, 0.046114977449178696, 0.04732004180550575, 0.04644657298922539, 0.046965159475803375, 0.04705831781029701, 0.04718361794948578, 0.04564066603779793, 0.04626437649130821, 0.04684215039014816, 0.04663556069135666, 0.047001272439956665, 0.0462682843208313, 0.046539947390556335, 0.04553580284118652, 0.04608655348420143, 0.04623926430940628, 0.04533056169748306, 0.04580789431929588, 0.04571431875228882, 0.04633796215057373, 0.04646345600485802, 0.04592560604214668, 0.04607773199677467, 0.045193638652563095, 0.046096619218587875, 0.04581392928957939, 0.04581228643655777, 0.045628808438777924, 0.046242184937000275, 0.04586395248770714, 0.046162694692611694, 0.045317746698856354, 0.04514196887612343, 0.04616602882742882, 0.04575849696993828, 0.04573361948132515, 0.04534708335995674, 0.04520166292786598, 0.04499141499400139, 0.04571041837334633, 0.04566963016986847, 0.04542664811015129, 0.04570524021983147, 0.04537180811166763, 0.04564732313156128, 0.045153554528951645, 0.04519209265708923, 0.044679321348667145, 0.04441637918353081, 0.04520874097943306, 0.04570819064974785, 0.045707494020462036, 0.046185705810785294, 0.04523565620183945, 0.045172300189733505, 0.04529498890042305, 0.044745493680238724, 0.04494477063417435, 0.04491276293992996]","[0.034069206565618515, 0.006681698374450207, 0.006302483379840851, 0.006207937840372324, 0.006209029350429773, 0.0061669121496379375, 0.006149280350655317, 0.006183087360113859, 0.006144009064882994, 0.006237063091248274, 0.006166025064885616, 0.006157910451292992, 0.006177383475005627, 0.006186004728078842, 0.006159551907330751, 0.006218946538865566, 0.006167172454297543, 0.006160593591630459, 0.006190827116370201, 0.006173622328788042, 0.006197821348905563, 0.006184734404087067, 0.006197466515004635, 0.006174759473651648, 0.0061887637712061405, 0.006195664871484041, 0.006179393269121647, 0.006202549673616886, 0.006169173400849104, 0.006223936565220356, 0.0061769806779921055, 0.006204749923199415, 0.0061997720040380955, 0.006190003361552954, 0.006195794325321913, 0.006203864235430956, 0.006181460339576006, 0.00619022361934185, 0.006209053099155426, 0.006176816765218973, 0.0061987778171896935, 0.00621703639626503, 0.006175790447741747, 0.006206857040524483, 0.006192386150360107, 0.006193559151142836, 0.00620669312775135, 0.006220455747097731, 0.006182166747748852, 0.006210325751453638, 0.006208239123225212, 0.006213921122252941, 0.006184489466249943, 0.006205434445291758, 0.006223973352462053, 0.006180626340210438, 0.006220972165465355, 0.006201434880495071, 0.006203451193869114, 0.006207593251019716, 0.0061898017302155495, 0.006208526901900768, 0.006211838684976101, 0.006203699856996536, 0.006189088802784681, 0.00619162991642952, 0.006229497492313385, 0.006195886060595512, 0.006203305907547474, 0.0062084319069981575, 0.0062138293869793415, 0.006201256066560745, 0.0061925435438752174, 0.006207537837326527, 0.0061784833669662476]","[0.007514831610023975, 0.006577799562364817, 0.006458610761910677, 0.006949347909539938, 0.006151588633656502, 0.006065033376216888, 0.006336458958685398, 0.006041252054274082, 0.006159629672765732, 0.006601386703550816, 0.006371104158461094, 0.0066366251558065414, 0.006328197196125984, 0.006254746578633785, 0.0063808695413172245, 0.005930792540311813, 0.006202826742082834, 0.0064850253984332085, 0.006390312686562538, 0.006437365896999836, 0.006367225665599108, 0.006409235764294863, 0.00623986916616559, 0.006291760131716728, 0.006504715885967016, 0.006312683690339327, 0.006691006477922201, 0.006275345105677843, 0.006927985232323408, 0.006219710223376751, 0.006245916243642569, 0.006368977949023247, 0.0062613096088171005, 0.006319251377135515, 0.0061861067079007626, 0.006065318360924721, 0.006232958287000656, 0.00616559199988842, 0.006049297749996185, 0.0064266459085047245, 0.006267023738473654, 0.006147690117359161, 0.006100526079535484, 0.006157980300486088, 0.006354089360684156, 0.006494294386357069, 0.006335764657706022, 0.006148210261017084, 0.006415837910026312, 0.006439086981117725, 0.0061628855764865875, 0.006237995810806751, 0.006475663743913174, 0.006173307541757822, 0.006177095230668783, 0.00654441025108099, 0.006170213222503662, 0.006027905270457268, 0.006172128953039646, 0.006138211116194725, 0.006369851995259523, 0.006340930238366127, 0.006216449197381735, 0.006152080837637186, 0.006216537207365036, 0.006377406883984804, 0.0061418646946549416, 0.0062970384024083614, 0.006447802297770977, 0.006439484190195799, 0.00626341113820672, 0.006328042596578598, 0.006196488626301289, 0.006284626666456461, 0.006454635877162218]","[0.12849241495132446, 0.037647806107997894, 0.03336417302489281, 0.03145274892449379, 0.030315961688756943, 0.02993451990187168, 0.029948590323328972, 0.029337070882320404, 0.028920359909534454, 0.029952768236398697, 0.028575154021382332, 0.02855413220822811, 0.028014877811074257, 0.02819393388926983, 0.028223199769854546, 0.027773890644311905, 0.02764975093305111, 0.027798082679510117, 0.027612246572971344, 0.02742723375558853, 0.027648482471704483, 0.0274717565625906, 0.027322547510266304, 0.02708425186574459, 0.02735571376979351, 0.02731429971754551, 0.027153177186846733, 0.027203798294067383, 0.02711435779929161, 0.0270706620067358, 0.02717999927699566, 0.02701294794678688, 0.026969578117132187, 0.02689472585916519, 0.026863431558012962, 0.026864556595683098, 0.026582540944218636, 0.026747971773147583, 0.02708747237920761, 0.02670213021337986, 0.026752902194857597, 0.0267192330211401, 0.026406526565551758, 0.02662160061299801, 0.026849307119846344, 0.026659861207008362, 0.02663593925535679, 0.026858750730752945, 0.026432905346155167, 0.02646641619503498, 0.02644297480583191, 0.026422034949064255, 0.026640452444553375, 0.026604194194078445, 0.02636907994747162, 0.026451999321579933, 0.026500405743718147, 0.0265594981610775, 0.02646673657000065, 0.02633138746023178, 0.026550492271780968, 0.02637425810098648, 0.026390597224235535, 0.026472290977835655, 0.02634890004992485, 0.026209698989987373, 0.026299208402633667, 0.02629150077700615, 0.026327796280384064, 0.026431825011968613, 0.026242369785904884, 0.02631167322397232, 0.026237592101097107, 0.026195764541625977, 0.026168864220380783]","[0.04276805743575096, 0.036859869956970215, 0.03340046480298042, 0.03232686594128609, 0.03092680685222149, 0.03073696419596672, 0.0296071395277977, 0.03054085187613964, 0.029779383912682533, 0.029946746304631233, 0.02921348437666893, 0.030001645907759666, 0.028597218915820122, 0.03023006208240986, 0.028914770111441612, 0.028209324926137924, 0.027678489685058594, 0.02887587994337082, 0.028428509831428528, 0.02871541492640972, 0.028515085577964783, 0.02872661128640175, 0.027301454916596413, 0.02763834223151207, 0.02860439382493496, 0.028433511033654213, 0.028938544914126396, 0.027723057195544243, 0.028455430641770363, 0.027114851400256157, 0.02749684453010559, 0.027656177058815956, 0.026920517906546593, 0.027495991438627243, 0.027365325018763542, 0.027597088366746902, 0.02802959270775318, 0.027232859283685684, 0.026973119005560875, 0.027307473123073578, 0.027767835184931755, 0.027187742292881012, 0.026915349066257477, 0.02721354365348816, 0.027528241276741028, 0.02766256220638752, 0.027874907478690147, 0.027042914181947708, 0.027066480368375778, 0.027681078761816025, 0.027075834572315216, 0.02704901061952114, 0.026842763647437096, 0.0266229547560215, 0.02644766867160797, 0.027434175834059715, 0.02725658006966114, 0.02663409523665905, 0.027178887277841568, 0.026621956378221512, 0.02714133821427822, 0.026899799704551697, 0.026841072365641594, 0.026224685832858086, 0.025916386395692825, 0.027101781219244003, 0.026944493874907494, 0.027348952367901802, 0.027581779286265373, 0.027053356170654297, 0.02687576413154602, 0.02689005807042122, 0.02608608826994896, 0.02635367028415203, 0.026673192158341408]"
2560,0.003,0.3,0.3,"[0.18913660943508148, 0.058079302310943604, 0.05233590677380562, 0.0499231182038784, 0.049300141632556915, 0.04878555238246918, 0.04791852459311485, 0.04833250492811203, 0.04709248244762421, 0.04761812463402748, 0.047244004905223846, 0.04664657264947891, 0.046704720705747604, 0.046369485557079315, 0.04657670482993126, 0.046424493193626404, 0.04613502696156502, 0.04603475332260132, 0.046357661485672, 0.046337343752384186, 0.046010278165340424, 0.0460134893655777, 0.04582084342837334, 0.04596971720457077, 0.04592514410614967, 0.04584614560008049, 0.04560805484652519, 0.04582562670111656, 0.0457388274371624, 0.045734893530607224, 0.045399583876132965, 0.0455971285700798, 0.0455566830933094]","[0.06534479558467865, 0.053339987993240356, 0.05209154263138771, 0.049688149243593216, 0.05287416651844978, 0.047668613493442535, 0.048818014562129974, 0.04694197699427605, 0.0464194118976593, 0.048069603741168976, 0.04704131558537483, 0.046562083065509796, 0.04648735001683235, 0.04694608598947525, 0.04771832004189491, 0.046392772346735, 0.04625902697443962, 0.0457816906273365, 0.04705424606800079, 0.046687718480825424, 0.04644676670432091, 0.04681944474577904, 0.04516949877142906, 0.046440623700618744, 0.04605760797858238, 0.04565322399139404, 0.04682456701993942, 0.04628685116767883, 0.045946843922138214, 0.04582789167761803, 0.04561945050954819, 0.04586885869503021, 0.04570022597908974]","[0.04451354220509529, 0.007182846777141094, 0.006389141548424959, 0.0062351287342607975, 0.0062290676869452, 0.006177202332764864, 0.00616330886259675, 0.006197082810103893, 0.006159861106425524, 0.006160674151033163, 0.0061650569550693035, 0.006169582717120647, 0.0061841667629778385, 0.006186583079397678, 0.006162176374346018, 0.006228066980838776, 0.006164162885397673, 0.006161131430417299, 0.006181264761835337, 0.0061771138571202755, 0.006201285868883133, 0.006182423792779446, 0.006196457892656326, 0.006174953654408455, 0.006185753270983696, 0.006202481221407652, 0.006168769672513008, 0.006203497294336557, 0.006166564766317606, 0.00622469000518322, 0.006175505928695202, 0.006200774572789669, 0.006190686021000147]","[0.008961292915046215, 0.006613908335566521, 0.006636799778789282, 0.006851648446172476, 0.006252653431147337, 0.006329849362373352, 0.0064331176690757275, 0.005995939485728741, 0.006339547224342823, 0.006284124683588743, 0.006372548174113035, 0.006514130160212517, 0.006402401253581047, 0.006210783962160349, 0.006270654499530792, 0.005914486479014158, 0.006201831623911858, 0.006444722879678011, 0.006436409894376993, 0.006466652266681194, 0.006279176566749811, 0.00637806486338377, 0.00623450567945838, 0.006273090839385986, 0.00653038127347827, 0.006324114743620157, 0.006576684769243002, 0.006367625668644905, 0.006849511992186308, 0.0061966003850102425, 0.006174641195684671, 0.006394694559276104, 0.006204565986990929]","[0.16566038131713867, 0.0405803881585598, 0.0342160128057003, 0.0314406119287014, 0.03078618086874485, 0.03009798191487789, 0.029134023934602737, 0.02962315082550049, 0.0283149853348732, 0.028747977688908577, 0.028391724452376366, 0.027834836393594742, 0.027921568602323532, 0.02753719501197338, 0.027690662071108818, 0.027619393542408943, 0.027291327714920044, 0.027146143838763237, 0.02753721922636032, 0.027462707832455635, 0.027224693447351456, 0.027175066992640495, 0.02700815349817276, 0.027125634253025055, 0.027073463425040245, 0.027052629739046097, 0.026757577434182167, 0.027048813179135323, 0.026862435042858124, 0.02692534402012825, 0.026553569361567497, 0.026794366538524628, 0.026768255978822708]","[0.04794929921627045, 0.0354425385594368, 0.03356803208589554, 0.03176827356219292, 0.03474532067775726, 0.02949032559990883, 0.030109170824289322, 0.028011368587613106, 0.02830255590379238, 0.029918719083070755, 0.029028918594121933, 0.028355514630675316, 0.028391612693667412, 0.028790563344955444, 0.029190264642238617, 0.027596713975071907, 0.027889879420399666, 0.02753370627760887, 0.029039163142442703, 0.028438396751880646, 0.027667930349707603, 0.02850540168583393, 0.026795603334903717, 0.02758452668786049, 0.027933144941926003, 0.02744932658970356, 0.02855806238949299, 0.02779947780072689, 0.027784666046500206, 0.027318138629198074, 0.02677161991596222, 0.027238402515649796, 0.02726958505809307]"
